,Profit
2011-07-05,0.11051035418183675
2011-07-06,0.4572071097242554
2011-07-07,0.023307232513341714
2011-07-08,0.5347900482661687
2011-07-11,0.6993874220615309
2011-07-12,-0.8350468919706412
2011-07-13,0.26012168419114406
2011-07-14,0.36300506196124227
2011-07-15,-0.35123294963851476
2011-07-18,0.23848270032183339
2011-07-19,0.4424083204957465
2011-07-20,-0.04078407574301812
2011-07-21,0.07909133374501778
2011-07-22,0.281972742944386
2011-07-25,0.26235639060664373
2011-07-26,-0.13736461821504223
2011-07-27,0.2165544751380802
2011-07-28,0.158046739917563
2011-07-29,0.6466598729515921
2011-08-01,0.21627653539697633
2011-08-02,0.15912573500676802
2011-08-03,0.12527641604343667
2011-08-04,-0.13638585329278652
2011-08-05,-4.825208753890985
2011-08-08,1.1343257019055344
2011-08-09,0.2435736445326648
2011-08-10,0.3484978763741122
2011-08-11,0.5104079074362828
2011-08-12,0.10512891749075146
2011-08-16,0.2939595633914112
2011-08-17,0.25231501012941326
2011-08-18,0.06027912998997244
2011-08-19,-0.30316007108664755
2011-08-22,0.27870859799543685
2011-08-23,0.3559969827059658
2011-08-24,0.5251261717270603
2011-08-25,0.3834161351805103
2011-08-26,0.2855884898221665
2011-08-29,0.2508723933217645
2011-08-30,0.24595162637905388
2011-08-31,0.13878495724604156
2011-09-01,0.021852835958375616
2011-09-02,0.10599486326661287
2011-09-05,-0.09014461309409572
2011-09-06,0.44725744153045277
2011-09-07,0.9252353792493243
2011-09-08,-0.7156602642759571
2011-09-09,-0.4094441814364679
2011-09-14,-1.6215701626512655
2011-09-15,0.7748803920832432
2011-09-16,0.669927668596612
2011-09-19,0.6668886019791563
2011-09-20,0.13867467753451387
2011-09-21,0.09415337426837884
2011-09-22,0.10872249940590971
2011-09-23,-0.5224834883188314
2011-09-26,1.0398165227944784
2011-09-27,-0.04479528508464575
2011-09-28,0.5514361758897971
2011-09-29,0.4306206202915539
2011-09-30,0.4368736706400739
2011-10-04,-0.0063565174847730055
2011-10-05,0.1277989951085175
2011-10-06,0.14834737338926432
2011-10-07,1.0348276847743938
2011-10-10,0.3457733949292837
2011-10-11,-0.0024388026383500017
2011-10-12,0.2885313492178936
2011-10-13,0.01652503499868535
2011-10-14,0.06834792128987266
2011-10-17,-0.23872705119226018
2011-10-18,0.1488939722516064
2011-10-19,0.15509324111932546
2011-10-20,0.2429619824859929
2011-10-21,0.24854329509206144
2011-10-24,-0.07012131208263395
2011-10-25,0.09249149706590258
2011-10-26,-0.15398843880842755
2011-10-27,-0.10352146076151844
2011-10-28,0.11906210623052597
2011-10-31,0.0500634769466245
2011-11-01,0.16866224844953281
2011-11-02,0.20956501370300618
2011-11-03,-0.5533127718814095
2011-11-04,0.4335973059354678
2011-11-07,-0.5522181137977114
2011-11-08,0.07617565419580202
2011-11-09,0.9025183363072551
2011-11-10,-0.17764054238794302
2011-11-11,0.6583175157157967
2011-11-14,0.3476508154870136
2011-11-15,0.07915331969244016
2011-11-16,-0.051808952413573306
2011-11-17,0.3964997875183996
2011-11-18,-0.6563736423018945
2011-11-21,0.29122717299347256
2011-11-22,0.12348953793197447
2011-11-23,-0.09020047147400495
2011-11-24,0.09663005375610895
2011-11-25,0.1479157748678986
2011-11-28,1.2060803516152223
2011-11-29,0.07943992319480325
2011-11-30,-0.42771593148126474
2011-12-01,0.31966516528298317
2011-12-02,0.15071401186124084
2011-12-05,0.10179967737416262
2011-12-06,0.08377925848305204
2011-12-07,0.1680842980727806
2011-12-08,-1.1042378690460346
2011-12-09,0.10593404081135299
2011-12-12,0.12371820216535784
2011-12-13,-0.1537516355520543
2011-12-14,0.02260346441197078
2011-12-15,-0.14698755331422822
2011-12-16,-0.019026776242180243
2011-12-19,-0.01826730171110924
2011-12-20,0.1433911549722297
2011-12-21,0.0443346412908881
2011-12-22,0.06839173989902225
2011-12-23,0.13918799275612723
2011-12-26,0.24866114327485334
2011-12-27,0.10860383707464423
2011-12-28,0.1022292774206218
2011-12-29,0.003658920498148366
2012-01-02,0.3921277114087917
2013-07-08,3.011066119673168
2013-07-09,-0.09429511176236938
2013-07-10,2.7414030621957894
2013-07-11,0.11206236754315357
2013-07-12,0.024383253452968774
2013-07-15,-0.7575353492704787
2013-07-16,-0.15045724110486142
2013-07-17,0.2648037773678059
2013-07-18,-0.43370393907682325
2013-07-19,0.11921894216614666
2013-07-22,0.12372218383979658
2013-07-23,0.11777054423156391
2013-07-24,-0.5734473486132747
2013-07-25,3.8870855345579316
2013-07-26,-2.8890790867056455
2013-07-29,0.3505635524215729
2013-07-30,-0.09355384190007746
2013-07-31,0.23208099051331033
2013-08-01,0.7201467955307337
2013-08-02,1.8158676057377103
2013-08-05,0.9764936398299022
2013-08-06,-1.148683662513264
2013-08-07,-1.2067035517269835
2013-08-08,0.7226097368224023
2013-08-09,-0.6370574153155792
2013-08-12,1.4821225884261873
2013-08-13,-0.7402257426613694
2013-08-14,-3.2150269038056587
2013-08-16,0.14961868776100762
2013-08-19,-0.41054671412438387
2013-08-20,1.09093234066379
2013-08-21,-0.9760025613331847
2013-08-22,-0.2641196193180724
2013-08-23,0.4816233749502986
2013-08-26,3.3529720616243557
2013-08-27,0.1200636336716886
2013-08-28,0.5110788406933481
2013-08-29,0.8066845745262652
2013-08-30,0.9913793654174146
2013-09-02,-0.8328427466530626
2013-09-03,-0.19496756637383064
2013-09-04,0.8768211904930827
2013-09-05,-0.2941921148280553
2013-09-06,0.05998793969511924
2013-09-09,3.485032950092402
2013-09-10,1.0455553428784747
