,Profit
2011-07-05,0.23480845158419356
2011-07-06,0.22260858999799724
2011-07-07,0.2531510490018767
2011-07-08,0.32149910451870845
2011-07-11,0.059246961630010087
2011-07-12,0.25291302782697056
2011-07-13,0.2440681599893163
2011-07-14,0.249224129377956
2011-07-15,0.21727981402782653
2011-07-18,0.2524066317117372
2011-07-19,0.301753343862852
2011-07-20,0.2657068090358428
2011-07-21,0.2767337813569713
2011-07-22,-3.5503396567714764
2011-07-25,0.32573762952880797
2011-07-26,-4.694780094746988
2011-07-27,-2.9902915668951606
2011-07-28,-1.8383399160826817
2011-07-29,-6.381728980626454
2011-08-01,-3.136736948904339
2011-08-02,-1.767865229424528
2011-08-03,1.2386814197121176
2011-08-04,-0.0046311920340054435
2011-08-05,0.9147332783400255
2011-08-08,-0.02079617506989101
2011-08-09,0.0974028627224366
2011-08-10,0.6059275207074689
2011-08-11,0.2215056093566909
2011-08-12,0.03458601948307018
2011-08-16,0.13120778916729386
2011-08-17,-0.25505835439270824
2011-08-18,0.10134393680607454
2011-08-19,1.1084567910185772
2011-08-22,-1.7294971286853174
2011-08-23,-0.6204095008568417
2011-08-24,-0.0048785957953104
2011-08-25,0.06931814799477165
2011-08-26,1.3495951985406376
2011-08-29,-1.5066515083957441
2011-08-30,0.793860415538145
2011-08-31,0.048261180583068455
2011-09-01,0.05879530357146899
2011-09-02,1.06547903060528
2011-09-05,1.3791168264491396
2011-09-06,-0.18349631564500704
2011-09-07,-0.08328546202017417
2011-09-08,0.7957071848993934
2011-09-09,0.49233995837772987
2011-09-14,-1.1686819086755822
2011-09-15,-1.472313134421773
2011-09-16,-0.7564969615128024
2011-09-19,-3.296480543294886
2011-09-20,0.06767551608531669
2011-09-21,-1.2556072837218055
2011-09-22,0.03640333465783803
2011-09-23,-3.055667114988212
2011-09-26,-6.2406752814768
2011-09-27,-0.13385622358232757
2011-09-28,-1.4643305009106093
2011-09-29,-2.09745210377537
2011-09-30,-2.5261828759345755
2011-10-04,5.640547346658738
2011-10-05,-2.225254732028132
2011-10-06,-1.8193846088272223
2011-10-07,-1.7441980496600848
2011-10-10,-5.860954403765955
2011-10-11,-0.6897658646268342
2011-10-12,0.8837120028993506
2011-10-13,0.09296648649858438
2011-10-14,-1.3556393315491544
2011-10-17,-1.3302399383692294
2011-10-18,-0.024637360618865983
2011-10-19,-0.03021601637423835
2011-10-20,-4.748017304563451
2011-10-21,0.32316480575078105
2011-10-24,-5.539524286764568
2011-10-25,-1.5696922358875571
2011-10-26,-6.414848761252907
2011-10-27,-4.072152369862641
2011-10-28,-2.985343690577177
2011-10-31,-6.793923611442263
2011-11-01,-0.016759350777898807
2011-11-02,-1.6076628536244846
2011-11-03,-1.3262797288465933
2011-11-04,-2.5380248567462096
2011-11-07,-0.03421704172646789
2011-11-08,0.09328215018608998
2011-11-09,-1.7409021402919964
2011-11-10,-3.228900751699344
2011-11-11,-1.2175028935933347
2011-11-14,-4.229162879413759
2011-11-15,-1.924490502174395
2011-11-16,0.6127034783378148
2011-11-17,-2.533186844170718
2011-11-18,-0.002991345479620461
2011-11-21,-1.2774800568967573
2011-11-22,0.13582273871405515
2011-11-23,0.04634603949457361
2011-11-24,-1.587060133349159
2011-11-25,-0.9491988078001402
2011-11-28,-3.040438675046294
2011-11-29,-0.00972725735838341
2011-11-30,-3.5680579130099015
2011-12-01,-1.0896673732988436
2011-12-02,-5.75740263492668
2011-12-05,-4.310038445729632
2011-12-06,-1.5559253159650033
2011-12-07,-1.5264093665939933
2011-12-08,-1.3106829270156584
2011-12-09,-3.057397468290114
2011-12-12,-2.3347152397275144
2011-12-13,0.28229155063867395
2011-12-14,0.40847593160644463
2011-12-15,0.361762621102527
2011-12-16,0.08480444273677051
2011-12-19,1.623714489745643
2011-12-20,-0.33096938754885386
2011-12-21,0.02847737427032928
2011-12-22,0.04106473621701763
2011-12-23,0.14705971857443884
2011-12-26,0.10243894282669949
2011-12-27,0.026990501083309103
2011-12-28,0.19809316620864797
2011-12-29,-0.044802552259553846
2012-01-02,-0.07374713754214914
2013-07-08,-5.406320361942777
2013-07-09,0.15190057731848303
2013-07-10,3.075265853674674
2013-07-11,10.03722301689788
2013-07-12,-0.6984080997525915
2013-07-15,-7.443670398465125
2013-07-16,-1.0925045023199602
2013-07-17,-2.191793169142463
2013-07-18,-0.9187340794691092
2013-07-19,-2.476522419784087
2013-07-22,-2.5980992996954453
2013-07-23,0.037987831073173176
2013-07-24,-1.0681825044532616
2013-07-25,-3.672726992316837
2013-07-26,-0.05384941257643849
2013-07-29,2.788094260522923
2013-07-30,-1.4373451755893256
2013-07-31,-6.032641863417094
2013-08-01,-2.667833062799997
2013-08-02,-5.319600762752117
2013-08-05,2.0722037236417905
2013-08-06,-1.6190596707668843
2013-08-07,-1.924686374249465
2013-08-08,-0.2190182637130897
2013-08-09,-0.21653939094236824
2013-08-12,1.4375428356318152
2013-08-13,0.22690802985235436
2013-08-14,-1.2054752004590958
2013-08-16,-1.7196047783525177
2013-08-19,-6.733219441992532
2013-08-20,2.496526579122692
2013-08-21,-1.3700977213425065
2013-08-22,-5.035139014962668
2013-08-23,0.6439621420518502
2013-08-26,-0.07051546598740333
2013-08-27,0.029118861490884877
2013-08-28,1.8789376269491753
2013-08-29,-0.2428315165504566
2013-08-30,2.074230170237091
2013-09-02,-2.325713528942925
2013-09-03,0.04168714589007695
2013-09-04,0.2104292948457661
2013-09-05,0.00046146409822156453
2013-09-06,0.15867189174081908
2013-09-09,-1.3178635885505283
2013-09-10,-3.7955846456366755
