,Profit
2011-07-05,0.23455845158419356
2011-07-06,0.22235858999799724
2011-07-07,0.2529010490018767
2011-07-08,0.3212491045187085
2011-07-11,0.058996961630010086
2011-07-12,0.2526630278269706
2011-07-13,0.2438181599893163
2011-07-14,0.248974129377956
2011-07-15,0.21702981402782653
2011-07-18,0.25215663171173724
2011-07-19,0.30150334386285205
2011-07-20,0.26545680903584284
2011-07-21,0.2762337813569713
2011-07-22,-3.5507146567714765
2011-07-25,0.32523762952880797
2011-07-26,-4.695217594746988
2011-07-27,-2.990791566895161
2011-07-28,-1.8388399160826816
2011-07-29,-6.382166480626454
2011-08-01,-3.137111948904339
2011-08-02,-1.768365229424528
2011-08-03,1.2381814197121177
2011-08-04,-0.005131192034005444
2011-08-05,0.9142957783400255
2011-08-08,-0.02129617506989101
2011-08-09,0.09696536272243661
2011-08-10,0.6054900207074689
2011-08-11,0.2211306093566909
2011-08-12,0.034148519483070176
2011-08-16,0.13070778916729386
2011-08-17,-0.2554958543927082
2011-08-18,0.10090643680607454
2011-08-19,1.108019291018577
2011-08-22,-1.7299971286853173
2011-08-23,-0.6207845008568417
2011-08-24,-0.005253595795310401
2011-08-25,0.06888064799477166
2011-08-26,1.3492201985406376
2011-08-29,-1.507151508395744
2011-08-30,0.793422915538145
2011-08-31,0.047761180583068455
2011-09-01,0.05835780357146899
2011-09-02,1.0650415306052798
2011-09-05,1.3786793264491395
2011-09-06,-0.18393381564500705
2011-09-07,-0.08372296202017417
2011-09-08,0.7953946848993934
2011-09-09,0.49196495837772986
2011-09-14,-1.1691194086755823
2011-09-15,-1.472813134421773
2011-09-16,-0.7568719615128024
2011-09-19,-3.296980543294886
2011-09-20,0.0672380160853167
2011-09-21,-1.2561072837218055
2011-09-22,0.03602833465783803
2011-09-23,-3.056104614988212
2011-09-26,-6.2410502814768
2011-09-27,-0.13429372358232758
2011-09-28,-1.4647680009106094
2011-09-29,-2.09782710377537
2011-09-30,-2.5265578759345755
2011-10-04,5.640047346658738
2011-10-05,-2.225754732028132
2011-10-06,-1.8198221088272224
2011-10-07,-1.7446980496600848
2011-10-10,-5.861454403765955
2011-10-11,-0.6902033646268342
2011-10-12,0.8832120028993506
2011-10-13,0.09246648649858438
2011-10-14,-1.3560768315491545
2011-10-17,-1.3306774383692295
2011-10-18,-0.025137360618865984
2011-10-19,-0.03071601637423835
2011-10-20,-4.7483298045634506
2011-10-21,0.32266480575078105
2011-10-24,-5.539899286764568
2011-10-25,-1.570192235887557
2011-10-26,-6.415286261252907
2011-10-27,-4.072652369862641
2011-10-28,-2.9858436905771772
2011-10-31,-6.794361111442264
2011-11-01,-0.017259350777898808
2011-11-02,-1.6080378536244846
2011-11-03,-1.3267797288465932
2011-11-04,-2.5384623567462095
2011-11-07,-0.03459204172646789
2011-11-08,0.09284465018608999
2011-11-09,-1.7413396402919965
2011-11-10,-3.229275751699344
2011-11-11,-1.2180028935933347
2011-11-14,-4.2296003794137595
2011-11-15,-1.924990502174395
2011-11-16,0.6122034783378149
2011-11-17,-2.533686844170718
2011-11-18,-0.0034288454796204608
2011-11-21,-1.2779800568967572
2011-11-22,0.13532273871405515
2011-11-23,0.04597103949457361
2011-11-24,-1.587560133349159
2011-11-25,-0.9496363078001402
2011-11-28,-3.040813675046294
2011-11-29,-0.01016475735838341
2011-11-30,-3.5684954130099014
2011-12-01,-1.0901673732988435
2011-12-02,-5.75790263492668
2011-12-05,-4.310475945729633
2011-12-06,-1.5563003159650033
2011-12-07,-1.5267843665939933
2011-12-08,-1.3110579270156584
2011-12-09,-3.057834968290114
2011-12-12,-2.3350902397275144
2011-12-13,0.28185405063867397
2011-12-14,0.4081009316064446
2011-12-15,0.361387621102527
2011-12-16,0.08430444273677051
2011-12-19,1.623276989745643
2011-12-20,-0.33140688754885383
2011-12-21,0.02803987427032928
2011-12-22,0.04075223621701763
2011-12-23,0.14655971857443884
2011-12-26,0.10193894282669949
2011-12-27,0.026553001083309102
2011-12-28,0.19765566620864797
2011-12-29,-0.04530255225955385
2012-01-02,-0.07424713754214914
2013-07-08,-5.406820361942777
2013-07-09,0.15140057731848303
2013-07-10,3.074953353674674
2013-07-11,10.03684801689788
2013-07-12,-0.6987830997525916
2013-07-15,-7.444107898465125
2013-07-16,-1.0929420023199603
2013-07-17,-2.192293169142463
2013-07-18,-0.9192340794691092
2013-07-19,-2.4770224197840873
2013-07-22,-2.5985992996954455
2013-07-23,0.037550331073173175
2013-07-24,-1.0686200044532617
2013-07-25,-3.673101992316837
2013-07-26,-0.054224412576438494
2013-07-29,2.787719260522923
2013-07-30,-1.4377826755893257
2013-07-31,-6.0330793634170945
2013-08-01,-2.6683330627999973
2013-08-02,-5.320038262752117
2013-08-05,2.0717037236417903
2013-08-06,-1.6195596707668842
2013-08-07,-1.925186374249465
2013-08-08,-0.2194557637130897
2013-08-09,-0.21703939094236824
2013-08-12,1.4370428356318152
2013-08-13,0.22647052985235436
2013-08-14,-1.2059752004590958
2013-08-16,-1.7199797783525177
2013-08-19,-6.733719441992532
2013-08-20,2.4960265791226917
2013-08-21,-1.3704727213425065
2013-08-22,-5.035514014962668
2013-08-23,0.6434621420518503
2013-08-26,-0.07101546598740333
2013-08-27,0.028806361490884877
2013-08-28,1.8784376269491754
2013-08-29,-0.2432690165504566
2013-08-30,2.0737926702370912
2013-09-02,-2.326213528942925
2013-09-03,0.04118714589007695
2013-09-04,0.2099917948457661
2013-09-05,2.3964098221564525e-05
2013-09-06,0.15817189174081908
2013-09-09,-1.3183635885505283
2013-09-10,-3.7960846456366757
2013-09-11,0.2949015558543611
2013-09-12,0.0701063604755994
2013-09-13,-2.866721680671041
2013-09-16,3.6584601890585167
2013-09-17,0.3787619472990639
2013-09-23,1.9414884171501625
2013-09-24,1.3808270215894067
2013-09-25,-0.17995610507190107
2013-09-26,0.19426908679398877
2013-09-27,0.1407501139748678
2013-09-30,0.7904191192627884
2013-10-01,-2.9139787904082493
2013-10-02,1.1146687453231483
2013-10-04,-0.7883533781870155
2013-10-07,-2.1242706681654533
2013-10-08,-0.0022131732822646476
2013-10-10,-4.856868133438292
2013-10-11,0.315066800374189
2013-10-14,-2.9308687909853215
2013-10-15,0.17533197947956491
2013-10-16,1.5632333995118584
2013-10-17,0.8028120665359432
2013-10-18,0.3504246554526732
2013-10-21,-0.022307529312214115
2013-10-22,0.22736549768845468
2013-10-23,6.267377487517808
2013-10-24,-1.050873414378227
2013-10-25,-0.8122458953793167
2013-10-28,0.5555584838844401
2013-10-29,0.26220412477631877
2013-10-30,1.5740865557895678
2013-10-31,-0.7178908300633782
2013-11-01,-3.3378698024971074
2013-11-04,-1.8554646636979095
2013-11-05,-0.08043581696380206
2013-11-06,0.04931093672130958
2013-11-07,-0.11411949234263154
2013-11-08,0.24407524364643654
2013-11-11,0.4135251021553845
2013-11-12,0.2734152022544998
2013-11-13,0.6926968803774795
2013-11-14,-0.8786572964087237
2013-11-15,-0.8342305561198866
2013-11-18,-1.282198623612793
2013-11-19,-2.763421749534055
2013-11-20,0.24406733513849627
2013-11-21,1.0326627525413785
2013-11-22,1.6317534841281247
2013-11-25,-0.6522221384052185
2013-11-26,0.2804298560748973
2013-11-27,0.1201193891728526
2013-11-28,-0.7446769460603669
2013-11-29,-1.06240529551946
2013-12-02,-0.4584936428647767
2013-12-03,0.1693452641152158
2013-12-04,0.2534985390358489
2013-12-05,-0.5869386726807726
2013-12-06,0.8891306838170566
2013-12-09,0.3826612770756039
2013-12-10,-1.6102601543956871
2013-12-11,0.13971625542544683
2013-12-12,0.2573876779669
2013-12-13,1.0056032264768588
2013-12-16,0.3292363745392325
2013-12-17,-0.04112616319706865
2013-12-18,0.21546866268683107
2013-12-19,0.19329167825325333
2013-12-20,0.08024450437214696
2013-12-23,0.2222806630281783
