,BondCode,Date,Return,YearToMaturity,Bond_Age,Coupon,D_Vkospi,MKTRF,RF,HML,SMB
0,KR6000061392,2013-09-30,0.016624887911987875,6.929500342231348,0.07118412046543464,4.62,-0.34999999999999964,0.034511924,0.0017659664,0.0016531944,-0.016530037
1,KR6000061392,2013-10-31,0.007281687286162817,6.844626967830253,0.15605749486652978,4.62,-0.9700000000000006,0.012519717,0.0020594597,-0.026865244,-0.014575422
2,KR6000061392,2013-11-30,0.002566822678957521,6.76249144421629,0.23819301848049282,4.62,0.009999999999999787,0.0019202232,0.0020570755,0.0270468,-0.037973344
3,KR6000061392,2013-12-31,0.003183748780298962,6.677618069815195,0.32306639288158795,4.62,-1.58,-0.01990825,0.0019602776,0.045435905,-0.029371738
4,KR6000061392,2014-01-31,0.010073968172658437,6.5927446954141,0.4079397672826831,4.62,1.5899999999999999,-0.030909777,0.0019602776,0.0130569935,0.050428152
5,KR6000061392,2014-02-28,0.01647094440960576,6.5160848733744015,0.48459958932238195,4.62,-0.9399999999999995,0.018859982,0.0019513369,0.038888216,0.014981627
6,KR6000061392,2014-03-31,-0.002885267606772734,6.431211498973306,0.5694729637234771,4.62,0.33000000000000007,0.0028038025,0.002041936,0.0051534176,0.034718752
7,KR6000061392,2014-04-30,0.0069566453023736236,6.349075975359343,0.6516084873374401,4.62,-2.2200000000000006,-0.009759486,0.0021469593,0.01500845,0.030501127
8,KR6000061392,2014-05-31,0.016776784946150754,6.264202600958248,0.7364818617385352,4.62,-0.7400000000000002,0.010901332,0.0018564463,0.008913159,-0.004132569
9,KR6000061392,2014-06-30,-0.005080403821908395,6.182067077344285,0.8186173853524983,4.62,0.620000000000001,-0.00022631884,0.0018496513,0.014453292,-0.004473388
10,KR6000061392,2014-07-31,0.012716666290542621,6.09719370294319,0.9034907597535934,4.62,1.209999999999999,0.030948997,0.0022431612,0.05465114,-0.020651579
11,KR6000061392,2014-08-31,0.007855571407241328,6.012320328542095,0.9883641341546886,4.62,-1.83,0.0006802082,0.001843214,-0.004039943,0.03838432
12,KR6000061392,2014-09-30,0.0008991132257692969,5.930184804928132,1.0704996577686516,4.62,1.83,-0.02217716,0.0016676188,0.019747019,0.012692094
13,KR6000061392,2014-10-31,0.01763752849276645,5.845311430527036,1.1553730321697468,4.62,1.3000000000000007,-0.02893126,0.0017139912,-0.018586934,0.014822841
14,KR6000061392,2014-11-30,0.009760350218455751,5.763175906913073,1.2375085557837098,4.62,-2.4000000000000004,0.0032566786,0.001557827,-0.015364587,-0.016938686
